name,sku,description,unit_price,unit,brand,supplier_name
C9517 SCANIA,1 6C-9517,,8767.66,unidad,FRAM,BERAL SRL
C9712 PEUGEOT 307 1.4 PART/BER,1 6C-9712,,10889.76,unidad,FRAM,BERAL SRL
"C9766ECO Seat Leon II, Toledo",1 6C-9766ECO,,18376.46,unidad,FRAM,BERAL SRL
C9815 PEUGEOT 407 HDI 1.6L,1 6C-9815,,15235.19,unidad,FRAM,BERAL SRL
C9927 RENAULT MASTER 2.8,1 6C-9927,,7256.35,unidad,FRAM,BERAL SRL
CA10262 FORD F150 RAPTOR,1 1CA-10262,,22326.24,unidad,FRAM,BERAL SRL
CA10498 VOLVO 560 - 580,1 1CA-10498,,13831.29,unidad,FRAM,BERAL SRL
"CA12639 JEEP COMPASS, RENEGADE",1 1CA-12639,,19324.3,unidad,FRAM,BERAL SRL
"CA12778 FORD BRONCO, MAVERICK",1 1CA-12778,,29877.24,unidad,FRAM,BERAL SRL
CA12260 CHEVROLET EQUINOX,1 2CA-12260,,34378.8,unidad,FRAM,BERAL SRL
CH11276 HYUNDAI SANTA FE,1 7CH-11276,,14554.58,unidad,FRAM,BERAL SRL
CH9011 BMW 318 320 DIESEL,1 7CH-9011,,5654.28,unidad,FRAM,BERAL SRL
G3736 M. BENZ VARIOS,1 9G-3736,,20522.98,unidad,FRAM,BERAL SRL
CA12561 PEUGEOT 208 1.6L 115CV,1 2CA-12561,,10596.57,unidad,FRAM,BERAL SRL
CA10013 HONDA PILOT 3.5 V6 24V,1 2CA-10013,,21884.22,unidad,FRAM,BERAL SRL
CA10023 CITROEN C4 2.0 16V PEU,1 2CA-10023,,10104.44,unidad,FRAM,BERAL SRL
CA10030 AGCO MASSEY FERGUSON,1 1CA-10030,,108531.07,unidad,FRAM,BERAL SRL
CA10031 AGCO MASSEY FERGUSON,1 1CA-10031,,91829.96,unidad,FRAM,BERAL SRL
CA10050 A1213 CLASE A  B,1 2CA-10050,,12934.79,unidad,FRAM,BERAL SRL
CA10083 HYUNDAI SONATA  2.4L 1,1 2CA-10083,,25158.91,unidad,FRAM,BERAL SRL
CA10085 VW VENTO 2.5L (170CV),1 2CA-10085,,8900.28,unidad,FRAM,BERAL SRL
"CA10086 HYUNDAI TUSCON V6 2,7L",1 2CA-10086,,15915.8,unidad,FRAM,BERAL SRL
CA10088 HYUNDAI ACCENT 1.6 16V,1 2CA-10088,,10889.76,unidad,FRAM,BERAL SRL
CA10111 FORD RANGER 3.0 TDI.--,1 1CA-10111,,17800.56,unidad,FRAM,BERAL SRL
CA10112 TOYOTA PICK UP 2.5/3.0,1 1CA-10112,,18544,unidad,FRAM,BERAL SRL
CA10114 MB VITO VIANO,1 2CA-10114,,17905.27,unidad,FRAM,BERAL SRL
CA10115 GM Captiva.,1 2CA-10115,,34920.51,unidad,FRAM,BERAL SRL
CA10116 -A1227-FIAT PUNTO 1.3,1 2CA-10116,,17653.97,unidad,FRAM,BERAL SRL
"CA10118 JEEP COMPASS 2.0L, 2.4",1 2CA-10118,,18420.33,unidad,FRAM,BERAL SRL
CA10130 Fiat Punto 1.8 HLX (11,1 2CA-10130,,6649.03,unidad,FRAM,BERAL SRL
CA10131 Fiat Punto 1.4 ELX (87,1 2CA-10131,,8376.74,unidad,FRAM,BERAL SRL
CA10165 Honda NEW CIVIC 1.8 L,1 2CA-10165,,6316.05,unidad,FRAM,BERAL SRL
"CA10169 TOYOTA CAMRY 3,5  V6",1 2CA-10169,,16020.51,unidad,FRAM,BERAL SRL
CA10171 TOYOTA CAMRY,1 2CA-10171,,21787.1,unidad,FRAM,BERAL SRL
CA10190 TOYOTA COROLLA 1.8L 16,1 2CA-10190,,5790.99,unidad,FRAM,BERAL SRL
CA10192 Chrysler PT Cruiser,1 2CA-10192,,14502.22,unidad,FRAM,BERAL SRL
CA10211 FIAT LINEA,1 2CA-10211,,12983.94,unidad,FRAM,BERAL SRL
"CA10221 IVECO Daily 35, 45, 55",1 1CA-10221,,30522.73,unidad,FRAM,BERAL SRL
CA10227 Peugeot 207 1.4 8v FLE,1 2CA-10227,,9994.49,unidad,FRAM,BERAL SRL
CA10228 JEEP LIBERTY V6 3.7L,1 2CA-10228,,28672.52,unidad,FRAM,BERAL SRL
CA10233 HONDA FIT1.5 16V,1 2CA-10233,,11936.85,unidad,FRAM,BERAL SRL
CA10234 NISAN TIIDA,1 2CA-10234,,10994.46,unidad,FRAM,BERAL SRL
CA10236 AUDI Q7,1 2CA-10236,,24344.89,unidad,FRAM,BERAL SRL
CA10237 PEUGEOT 307 1.6 L 16V,1 2CA-10237,,9444.77,unidad,FRAM,BERAL SRL
CA10239  A1382  BMW,1 2CA10239,,21250.73,unidad,FRAM,BERAL SRL
CA10253 FORD KUGA Y MONDEO,1 1CA-10253,,20523,unidad,FRAM,BERAL SRL
"CA10256 VW Vento 2,0 T fsi",1 2CA-10256,,12931.58,unidad,FRAM,BERAL SRL
CA10261 DODGE RAM 2500,1 2CA-10261,,32773.98,unidad,FRAM,BERAL SRL
"CA10276 Peugeot 207 2,0 hdi",1 2CA-10276,,8167.32,unidad,FRAM,BERAL SRL
CA10278 PEUGEOT 207 2.0 HDI,1 2CA-10278,,9528.54,unidad,FRAM,BERAL SRL
CA10293 Ford EcoSport 2.0 Dura,1 2CA-10293,,8272.03,unidad,FRAM,BERAL SRL
CA10314 CLIO II LOGAN DIESEL,1 2CA-10314,,9776.17,unidad,FRAM,BERAL SRL
CA10320 IVECO STRALIS,1 1CA-10320,,51509.07,unidad,FRAM,BERAL SRL
CA10327 JUMPY,1 2CA-10327,,17449.79,unidad,FRAM,BERAL SRL
CA10330 MB SPRINTER 2013 --->,1 2CA-10330,,12093.91,unidad,FRAM,BERAL SRL
CA10344 HONDA CRV NUEVA,1 2CA-10344,,15130.48,unidad,FRAM,BERAL SRL
CA10354 RENAULT LAGUNA II 3.0,1 2CA-10354,,11151.53,unidad,FRAM,BERAL SRL
CA10356-A1268-FORD SMA 2.0 2.3,1 2CA-10356,,17151.36,unidad,FRAM,BERAL SRL
"CA10416 C3 ,INI PEUGEOT208 308",1 2CA-10416,,13548.1,unidad,FRAM,BERAL SRL
CA10456 FIAT IDEA,1 2CA-10456,,7434.35,unidad,FRAM,BERAL SRL
CA10477 MERCEDES BENZ ATEGO 07,1 1CA-10477,,49531.63,unidad,FRAM,BERAL SRL
CA10485 AUDI,1 2CA-10485,,37590.6,unidad,FRAM,BERAL SRL
CA10497 MITSUBISHI LANCER,1 2CA-10497,,15863.44,unidad,FRAM,BERAL SRL
CA10500 VOLVO 560/580/V60/V70,1 2CA-10500,,16334.63,unidad,FRAM,BERAL SRL
CA10509 VOLKSWAGEN POLO NUEVO,1 2CA-10509,,13402.78,unidad,FRAM,BERAL SRL
CA10516  JOURNEY 2.4- 2.7,1 2CA-10516,,17843.52,unidad,FRAM,BERAL SRL
CA-10518 FIAT DOBLO,1 2CA-10518,,7643.77,unidad,FRAM,BERAL SRL
CA10520 CAPTIVA 2.0 VCDI DMH,1 2CA-10520 RV,,26439.07,unidad,FRAM,BERAL SRL
CA10521 FORD FOCUS KINETIC,1 1CA-10521,,14397.51,unidad,FRAM,BERAL SRL
CA10522 AUDI A4 A5 Q5,1 2CA-10522,,14921.06,unidad,FRAM,BERAL SRL
"CA10650 Honda Fit, City 1.5L F",1 2CA-10650,,12087.04,unidad,FRAM,BERAL SRL
CA10651 MEGANE 1.2 2.0,1 2CA-10651,,9947.37,unidad,FRAM,BERAL SRL
CA10653 FORD ECOSPORT 1.6 KINE,1 2CA-10653,,8062.61,unidad,FRAM,BERAL SRL
CA10677 TOYOTA RAV 4,1 2CA-10677,,20470.65,unidad,FRAM,BERAL SRL
CA10693 MINI COUPER II,1 2CA-10693,,13298.07,unidad,FRAM,BERAL SRL
CA10696 VW AMAROK 2.0 TDI,1 1CA-10696,,15434.13,unidad,FRAM,BERAL SRL
CA10697 VW AMAROK 2.0 TDI,1 1CA-10697,,17151.37,unidad,FRAM,BERAL SRL
CA10700 BMW SERIE 1/3/X1,1 2CA-10700,,21465.38,unidad,FRAM,BERAL SRL
CA10739 CHEVROLET MONTANA 1.8,1 2CA-10739,,11570.37,unidad,FRAM,BERAL SRL
CA10748SY DAILY 50 C16,1 1CA-10748SY,,26910.26,unidad,FRAM,BERAL SRL
CA10878 MB 180 200 250,1 2CA-10878,,16544.05,unidad,FRAM,BERAL SRL
CA10879 - A1380-GMCRUZE1.6-1.8,1 2CA-10879,,9423.83,unidad,FRAM,BERAL SRL
CA10880 - A1381-GMCRUZE2.0 CDI,1 2CA-10880,,19292.67,unidad,FRAM,BERAL SRL
CA10894 FORD CARGO LINEA 2012,1 1CA-10894,,45380.96,unidad,FRAM,BERAL SRL
CA10894SY FORD CARGO 2012,1 1CA10894SY,,45653.21,unidad,FRAM,BERAL SRL
CA10910 PEUGEOT 4008 CITROENC4,1 2CA-10910,,18481.17,unidad,FRAM,BERAL SRL
"CA10947 C5 ,EXPERT,407HDI 1.6",1 2CA-10947,,9423.83,unidad,FRAM,BERAL SRL
CA10997 FIESTA KINETIC,1 2CA-10997,,7832.25,unidad,FRAM,BERAL SRL
CA11071 GM SPARK 1.2,1 2CA-11071,,15706.38,unidad,FRAM,BERAL SRL
CA11048 jeep compass patriot,1 1CA-11048,,33906.04,unidad,FRAM,BERAL SRL
CA11072 -A1406-PARTNER BERLING,1 2CA-11072,,9109.7,unidad,FRAM,BERAL SRL
CA11073 RENAULT MASTER,1 2CA-11073,,11465.66,unidad,FRAM,BERAL SRL
CA11077 CHEVROLET S-10 2.8CTDI,1 1CA-11077,,18690.59,unidad,FRAM,BERAL SRL
CA11096 CITROEN C4 PEUGEOT 207,1 2CA-11096,,7539.06,unidad,FRAM,BERAL SRL
CA11104 FIAT UNO WAY PALIO,1 2CA-11104,,6853.22,unidad,FRAM,BERAL SRL
CA11109 1.4 FIRE EVO MULTIAIR,1 2CA-11109,,7329.64,unidad,FRAM,BERAL SRL
CA11112 GRAND SIENA PALIO IDEA,1 2CA-11112,,10261.5,unidad,FRAM,BERAL SRL
CA11113 HONDA CIVIC,1 2CA-11113,,13298.07,unidad,FRAM,BERAL SRL
CA11123 Iveco Caballino (Origi,1 1CA-11123,,45548.5,unidad,FRAM,BERAL SRL
CA11188 ALFA ROMERO MITO 1.3,1 2CA-11188,,19971.5,unidad,FRAM,BERAL SRL
CA11201 HYUNDAI i10,1 2CA-11201,,13402.78,unidad,FRAM,BERAL SRL
CA11206 KIA RIO/SOUL/VELOSTER,1 2CA-11206,,20837.13,unidad,FRAM,BERAL SRL
CA11222 CHEV. COBALT SONIC SPI,1 2CA-11222,,5882.04,unidad,FRAM,BERAL SRL
CA11250 FIAT 500 FIRE Y TURBO,1 2CA-11250,,8219.67,unidad,FRAM,BERAL SRL
CA11258 Honda CR-V 2012->,1 2CA-11258,,23297.79,unidad,FRAM,BERAL SRL
CA11411 MB CLASE A B C,1 1CA-11411,,19109.43,unidad,FRAM,BERAL SRL
CA11416 HONDA MOTOS,1 2CA-11416,,4083.66,unidad,FRAM,BERAL SRL
CA11458 VW UP Y FOX,1 2CA-11458,,11570.37,unidad,FRAM,BERAL SRL
CA11493 TOYOTA ETIOS,1 2CA-11493,,7329.64,unidad,FRAM,BERAL SRL
CA11500 HYUNDAI SORENTO STA FE,1 2CA-11500,,26072.59,unidad,FRAM,BERAL SRL
CA11501 GM TRAKKER,1 2CA-11501,,11622.72,unidad,FRAM,BERAL SRL
CA11503 A1567 AUDI A1-A3,1 2CA-11503,,29484.16,unidad,FRAM,BERAL SRL
CA11652 A1576 RENAULT LOGANII,1 2CA-11652,,8795.57,unidad,FRAM,BERAL SRL
CA11654 RENAULT LOGAN SANDERO,1 2CA-11654,,9685.6,unidad,FRAM,BERAL SRL
CA11674 RANGER MOTOR PUMA,1 1CA-11674,,15941.97,unidad,FRAM,BERAL SRL
CA11759 MERCEDES BENZ,1 2CA-11759,,14339.92,unidad,FRAM,BERAL SRL
CA11864 FORD ECOSPORT KINETIC,1 2CA-11864,,6622.86,unidad,FRAM,BERAL SRL
CA11874 IVECO DAYLI,1 2CA-11874,,45496.15,unidad,FRAM,BERAL SRL
CA11949 HONDA FIT 1.5 2017-->,1 2CA-11949,,10680.34,unidad,FRAM,BERAL SRL
CA11952 TOYOTA ETIOS YARIS,1 2CA-11952,,4276.87,unidad,FRAM,BERAL SRL
"CA11974 Scania Serie G, P, (18",1 1CA-11974,,58741.85,unidad,FRAM,BERAL SRL
CA11974SY SCANIA SERIE G P,1 1CA-11974SY,,18428.82,unidad,FRAM,BERAL SRL
CA12003 NISSAN MARCH VERSA,1 2CA-12003,,4553.93,unidad,FRAM,BERAL SRL
CA12004 NISSAN FRONTIER,1 2CA-12004,,12931.58,unidad,FRAM,BERAL SRL
CA12006 CAMION HYUNDAI,1 1CA-12006,,25339.62,unidad,FRAM,BERAL SRL
CA12017 VW UP 1.0L TSI 2015-,1 2CA-12017,,30910.16,unidad,FRAM,BERAL SRL
CA12021 PEUGEOT CITROEN THP,1 2CA-12021,,16643.53,unidad,FRAM,BERAL SRL
CA12034 CITROEN SPACETUREXPERT,1 2CA-12034,,18198.46,unidad,FRAM,BERAL SRL
CA12050 HONDA CIVIC CRV 1.5,1 1CA-12050,,14570.28,unidad,FRAM,BERAL SRL
CA12051 HONDA CIVIC CRV 2.0,1 1CA-12051,,17277.02,unidad,FRAM,BERAL SRL
CA12052 HONDA HRV,1 2CA-12052,,11518.01,unidad,FRAM,BERAL SRL
CA12055 TOYOTA HILUX 2016,1 2CA-12055,,12900.17,unidad,FRAM,BERAL SRL
CA12066 FIAT TORO JEEPRENEGADE,1 2CA-12066,,8811.28,unidad,FRAM,BERAL SRL
CA12097 RENAULT KWID,1 2CA-12097,,11203.88,unidad,FRAM,BERAL SRL
CA12104 VW FOX SURAN GOL VOYAG,1 2CA-12104,,6334.91,unidad,FRAM,BERAL SRL
CA12112 GM CRUZE,1 1CA-12112,,16544.05,unidad,FRAM,BERAL SRL
